               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092233,            0.050578,            0.031968,             0.36567,             0.55511,             0.34112,            0.082572,              0.0732,            0.036616,            0.012201,            0.070732,            0.003252,            0.003252
                   1,            0.068803,              0.0369,            0.010229,             0.58805,             0.73676,             0.64233,             0.19776,             0.05649,            0.021244,            0.003201,            0.040677,            0.006531,            0.006531
                   2,            0.065963,            0.031082,           0.0061162,             0.56276,             0.87038,             0.64683,             0.21633,             0.05549,            0.019212,           0.0031627,            0.010568,            0.009755,            0.009755
                   3,            0.056168,            0.027509,           0.0044334,              0.6606,             0.88399,             0.85233,             0.42114,            0.042786,              0.0192,           0.0018154,           0.0097525,           0.0097525,           0.0097525
                   4,             0.04771,            0.027163,           0.0033367,             0.94978,             0.94513,              0.9408,             0.41565,            0.042196,            0.017494,           0.0015922,           0.0097525,           0.0097525,           0.0097525
                   5,            0.043934,            0.025719,           0.0027069,             0.81628,             0.97182,             0.92943,             0.45731,            0.040569,            0.017232,           0.0013515,             0.00967,             0.00967,             0.00967
                   6,            0.041049,            0.024644,           0.0024244,             0.80924,             0.96606,             0.92269,             0.47265,            0.039561,            0.016992,           0.0015192,           0.0095875,           0.0095875,           0.0095875
                   7,            0.038372,            0.024479,            0.002084,             0.98412,             0.98679,             0.98652,             0.50571,            0.034493,            0.016703,           0.0011258,            0.009505,            0.009505,            0.009505
                   8,            0.038054,            0.024535,           0.0018915,             0.96707,             0.97728,             0.97436,             0.48013,            0.036032,            0.015679,           0.0011268,           0.0094225,           0.0094225,           0.0094225
                   9,            0.036495,            0.024326,           0.0015391,             0.97575,             0.95637,             0.96523,              0.5395,             0.03474,            0.016626,           0.0010808,             0.00934,             0.00934,             0.00934
                  10,            0.035744,            0.024098,           0.0017249,             0.98187,             0.98298,             0.98702,              0.5601,            0.032873,            0.015823,          0.00099161,           0.0092575,           0.0092575,           0.0092575
                  11,            0.034269,            0.024173,            0.001651,             0.98587,             0.99119,             0.98666,             0.59661,            0.029924,            0.015279,           0.0010295,            0.009175,            0.009175,            0.009175
                  12,             0.03382,            0.023742,           0.0015997,             0.98849,             0.99072,             0.98927,             0.54994,            0.031607,            0.015318,          0.00087301,           0.0090925,           0.0090925,           0.0090925
                  13,             0.03337,            0.023248,            0.001571,             0.98279,             0.98504,             0.98626,              0.5948,            0.029926,            0.015443,          0.00087207,             0.00901,             0.00901,             0.00901
                  14,            0.031896,            0.023099,           0.0013772,             0.98751,             0.99103,             0.98977,             0.59776,            0.029107,            0.015233,          0.00091934,           0.0089275,           0.0089275,           0.0089275
                  15,            0.031556,            0.022926,           0.0014155,             0.98652,             0.98972,             0.98919,             0.60888,             0.02923,            0.015324,          0.00085332,            0.008845,            0.008845,            0.008845
                  16,            0.031432,            0.023017,           0.0012157,             0.98043,             0.98529,             0.98403,             0.54803,            0.032426,            0.015625,          0.00088027,           0.0087625,           0.0087625,           0.0087625
                  17,            0.032169,            0.023148,           0.0010631,             0.98119,             0.99058,             0.98588,             0.60122,            0.029277,            0.015193,          0.00086712,             0.00868,             0.00868,             0.00868
                  18,             0.03122,            0.022328,           0.0013544,             0.98559,             0.99281,             0.98743,             0.58817,            0.029977,            0.015091,          0.00081909,           0.0085975,           0.0085975,           0.0085975
                  19,            0.030237,             0.02257,           0.0010071,             0.98593,             0.99397,             0.99005,             0.59637,            0.030901,            0.015369,          0.00065825,            0.008515,            0.008515,            0.008515
                  20,            0.030317,            0.023071,           0.0011962,             0.98196,             0.98989,             0.98441,             0.60768,             0.02911,             0.01517,          0.00074114,           0.0084325,           0.0084325,           0.0084325
                  21,            0.029499,            0.021762,           0.0010503,             0.98811,             0.99103,             0.98815,             0.61112,            0.028611,            0.015008,          0.00059384,             0.00835,             0.00835,             0.00835
                  22,            0.029396,             0.02241,          0.00097751,             0.98786,             0.99274,             0.98812,             0.61166,            0.029294,            0.015052,          0.00059635,           0.0082675,           0.0082675,           0.0082675
                  23,            0.029881,            0.022423,           0.0011447,             0.98506,             0.99232,             0.98988,             0.60506,            0.029516,            0.015137,          0.00060945,            0.008185,            0.008185,            0.008185
                  24,            0.029494,             0.02233,           0.0010773,              0.9859,             0.99291,             0.98995,             0.61389,            0.029254,            0.014858,          0.00058666,           0.0081025,           0.0081025,           0.0081025
